timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
3784     农发种业  600313 2015-06-25       8.39 2022-03-31        8.56    17.0  4.800000e+01         2.026222       1638       2720
12535    联络互动  002280 2016-10-26      20.07 2023-10-20        2.69 -1738.0 -1.302000e+03       -86.596911       1635       1534
13441    路畅科技  002813 2016-11-29      62.65 2023-10-20       31.90 -3075.0 -3.075000e+03       -49.082203       1618         34
3348     佳隆股份  002495 2017-03-08       5.83 2023-10-20        2.52  -331.0 -2.510000e+02       -56.775300       1609       1528
2268     中晟高科  002778 2016-12-09      37.70 2023-10-20       12.87 -2483.0 -1.934000e+03       -65.862069       1605        226
11636    益民集团  600824 2017-03-08       6.92 2023-10-20        3.44  -348.0 -1.630000e+02       -50.289017       1599       5558
1782     中兴商业  000715 2017-03-16      10.34 2023-10-20        6.69  -365.0 -2.490000e+02       -35.299807       1592       4476
2959     亚太股份  002284 2017-04-06      13.76 2023-10-20        9.37  -439.0 -1.200000e+02       -31.904070       1590       1802
12696    芭田股份  002170 2017-04-06       8.75 2023-10-20        5.45  -330.0 -7.370000e+02       -37.714286       1590       2189
1199     三角轮胎  601163 2017-04-07      28.46 2023-10-20       14.57 -1389.0 -1.152000e+03       -48.805341       1589        135
